no;operation;volume;client_pool_size;server_pool_size;avg_client_time;avg_throughput;client_success;client_fail;server_success;server_fail
1;download;10MB.bin;1;1;0.14;0;0;1;0;1
2;download;10MB.bin;5;1;0.21;0;0;5;0;5
3;download;10MB.bin;50;1;1.76;0;0;50;0;50
4;download;50MB.bin;1;1;0.12;0;0;1;0;1
5;download;50MB.bin;5;1;0.17;0;0;5;0;5
6;download;50MB.bin;50;1;2.62;0;0;50;0;50
7;download;100MB.bin;1;1;0.19;0;0;1;0;1
8;download;100MB.bin;5;1;0.22;0;0;5;0;5
9;download;100MB.bin;50;1;1.65;0;0;50;0;50
10;upload;10MB.bin;1;1;0.39;26951390.64;1;0;1;0
11;upload;10MB.bin;5;1;0.72;14489235.86;5;0;5;0
12;upload;10MB.bin;50;1;4.78;2347559.12;50;0;50;0
13;upload;50MB.bin;1;1;2.79;18769476.69;1;0;1;0
14;upload;50MB.bin;5;1;5.11;10277426.09;5;0;5;0
15;upload;50MB.bin;50;1;72.48;733814.48;50;0;50;0
16;upload;100MB.bin;1;1;8.35;12557036.44;1;0;1;0
17;upload;100MB.bin;5;1;16.64;6302640.26;5;0;5;0
18;upload;100MB.bin;50;1;376.42;284219.64;49;1;49;1
19;download;10MB.bin;1;1;0.45;23479000.78;1;0;1;0
20;download;10MB.bin;5;1;0.82;9835198.39;5;0;5;0
21;download;10MB.bin;50;1;5.7;2176640.23;36;14;36;14
22;download;50MB.bin;1;1;0.18;0;0;1;0;1
23;download;50MB.bin;5;1;0.28;0;0;5;0;5
24;download;50MB.bin;50;1;1.73;0;0;50;0;50
25;download;100MB.bin;1;1;0.19;0;0;1;0;1
26;download;100MB.bin;5;1;0.29;0;0;5;0;5
27;download;100MB.bin;50;1;1.65;0;0;50;0;50
28;upload;10MB.bin;1;1;0.42;24854853.89;1;0;1;0
29;upload;10MB.bin;5;1;0.81;12932966.52;5;0;5;0
30;upload;10MB.bin;50;1;4.4;2555606.75;50;0;50;0
31;upload;50MB.bin;1;1;3.34;15712937.57;1;0;1;0
32;upload;50MB.bin;5;1;6.94;7553205.53;5;0;5;0
33;upload;50MB.bin;50;1;70.06;752513.82;47;3;47;3
34;upload;100MB.bin;1;1;9.73;10775193.5;1;0;1;0
35;upload;100MB.bin;5;1;17.01;6168376.85;5;0;5;0
36;upload;100MB.bin;50;1;300.07;361021.52;50;0;50;0
37;download;10MB.bin;1;1;0.49;21382790.25;1;0;1;0
38;download;10MB.bin;5;1;0.99;10985382.78;5;0;5;0
39;download;10MB.bin;50;1;5.42;1262051.67;32;18;32;18
40;download;50MB.bin;1;1;2.35;22294679.78;1;0;1;0
41;download;50MB.bin;5;1;7.6;5685131.41;5;0;5;0
42;download;50MB.bin;50;1;32.83;729392.08;25;25;25;25
43;download;100MB.bin;1;1;5.92;17698212.5;1;0;1;0
44;download;100MB.bin;5;1;22.26;4727589.1;5;0;5;0
45;download;100MB.bin;50;1;149.16;423619.35;23;27;23;27
46;upload;10MB.bin;1;1;0.51;20501199.67;1;0;1;0
47;upload;10MB.bin;5;1;0.74;14358915.68;5;0;5;0
48;upload;10MB.bin;50;1;3.33;3398224.9;50;0;50;0
49;upload;50MB.bin;1;1;2.89;18172759.18;1;0;1;0
50;upload;50MB.bin;5;1;6.07;8643609.3;5;0;5;0
51;upload;50MB.bin;50;1;90.9;605924.32;49;1;49;1
52;upload;100MB.bin;1;1;8.84;11861644.71;1;0;1;0
53;upload;100MB.bin;5;1;28.1;3732491.25;5;0;5;0
54;upload;100MB.bin;50;1;353.85;295802.4;42;8;42;8
55;download;10MB.bin;1;1;0.22;48258853.79;1;0;1;0
56;download;10MB.bin;5;1;0.54;25171702.42;5;0;5;0
57;download;10MB.bin;50;1;4.27;5085655.32;50;0;50;0
58;download;50MB.bin;1;1;1.64;31873394.47;1;0;1;0
59;download;50MB.bin;5;1;5.7;12693077.14;5;0;5;0
60;download;50MB.bin;50;1;40.59;2721509.84;50;0;50;0
61;download;100MB.bin;1;1;0.03;0;0;1;0;1
62;download;100MB.bin;5;1;0.01;0;0;5;0;5
